ID,KR,EN
Guide_Category_Rule,게임 규칙,Game Rules
Guide_Rule_Goal_Title,승리와 패배,Victory and Defeat
Guide_Rule_Goal_Desc,"자신의 마을을 지키면서 중앙의 나무를 공격하세요. 마을 체력이 0이 된 플레이어는 패배합니다. 나무 체력이 0이 되면 마지막으로 나무를 공격한 현재 턴 플레이어가 패배합니다. 여러 마을이 동시에 파괴되면 무승부가 될 수 있습니다.","Protect your village while attacking the central tree. A player loses when their village HP reaches zero. If the tree reaches zero HP, the current-turn player who delivered the final attack loses. If multiple villages are destroyed together, the match may end in a draw."
Guide_Rule_Turn_Title,턴 진행,Turns
Guide_Rule_Turn_Desc,"플레이어는 정해진 순서대로 행동합니다. 자신의 턴에는 제한 시간 안에 공격과 상호작용을 마쳐야 합니다. 공격 처리가 끝나면 다음 플레이어에게 턴이 넘어가며, 제한 시간이 끝나도 턴이 종료됩니다.","Players act in a fixed order. During your turn, finish attacks and interactions before the timer expires. The turn passes after attack processing finishes, and it also ends when time runs out."
Guide_Rule_Energy_Title,기력과 공격,Energy and Attacks
Guide_Rule_Energy_Desc,"공격과 아이템 사용에는 기력이 필요할 수 있습니다. 남은 기력과 최대 기력을 확인해 행동 순서를 결정하세요. 농장을 강화하면 최대 기력과 매일 회복되는 기력이 증가합니다.","Attacks and item use may require energy. Check your current and maximum energy before choosing an action. Upgrading the farm increases maximum energy and the energy restored each day."
Guide_Rule_Item_Title,아이템과 인벤토리,Items and Inventory
Guide_Rule_Item_Desc,"턴마다 제시되는 아이템 중 하나를 선택해 인벤토리에 보관할 수 있습니다. 기본 인벤토리에는 8칸이 있으며, 가득 찬 경우 새 아이템을 받을 수 없습니다. 아이템마다 대상, 기력 비용, 등급, 사용 횟수 제한과 발동 시점이 다릅니다.","Choose one of the offered items each turn and store it in your inventory. The default inventory has eight slots, and no new item can be received while it is full. Items differ in target, energy cost, rarity, usage limits, and trigger timing."
Guide_Rule_Phase_Title,낮과 마을 단계,Day and Village Phase
Guide_Rule_Phase_Desc,"모든 플레이어의 낮 행동이 끝나면 마을 단계가 시작됩니다. 제한 시간 동안 골드를 사용해 건물을 강화하세요. 마을 단계가 끝나면 나무가 모든 마을을 공격하고 다음 날이 시작됩니다.","After every player finishes the daytime sequence, the village phase begins. Spend gold to upgrade buildings before its timer expires. When the village phase ends, the tree attacks every village and the next day begins."
Guide_Category_Village,마을 도감,Village Guide
Guide_Village_Mine_Title,광산,Mine
Guide_Village_Mine_Desc,"매일 얻는 골드를 증가시킵니다. 골드는 다른 건물을 업그레이드하거나 상점에서 아이템을 구매하는 데 사용됩니다. 초반에 강화하면 이후 날마다 더 많은 투자 자금을 확보할 수 있습니다.","Increases the gold earned each day. Gold is spent on other building upgrades and shop items. Early upgrades provide more funds to invest on every following day."
Guide_Village_Forge_Title,대장간,Forge
Guide_Village_Forge_Desc,"기본 도끼 공격의 최소·최대 피해 범위를 강화합니다. 레벨이 오를수록 공격 피해의 상한과 하한이 변화하여 나무에 더 강한 피해를 줄 수 있습니다.","Improves the minimum and maximum damage range of the basic axe attack. Higher levels adjust both ends of the damage range, allowing stronger attacks against the tree."
Guide_Village_Shop_Title,상점,Shop
Guide_Village_Shop_Desc,"골드로 아이템을 구매하거나 상품 목록을 갱신할 수 있습니다. 상점 레벨이 높아질수록 희귀·영웅·전설 등급 아이템이 등장할 가능성이 열리고 증가합니다. 갱신 비용은 반복할수록 증가합니다.","Spend gold to buy items or refresh the stock. Higher shop levels unlock and improve the chance of Rare, Hero, and Legendary items. Each repeated refresh costs more gold."
Guide_Village_Farm_Title,농장,Farm
Guide_Village_Farm_Desc,"최대 기력과 매일 회복되는 기력을 함께 증가시킵니다. 더 많은 기력은 한 턴에 선택할 수 있는 공격과 아이템 운용의 폭을 넓혀 줍니다.","Increases both maximum energy and energy restored each day. More energy expands the attacks and item combinations available during a turn."
Guide_Village_Barrier_Title,방벽,Barrier
Guide_Village_Barrier_Desc,"밤에 나무가 마을을 공격할 때 피해를 막는 방어력을 제공합니다. 레벨이 오를수록 방어력이 증가하므로 마을 체력을 오래 유지하는 데 도움이 됩니다.","Provides armor against the tree's nightly attack on your village. Armor increases with each level, helping your village survive for longer."
Guide_Category_Item,아이템 도감,Item Guide
