ID,KR,EN
M_NAME_BASICATTACK,순수 전투 실험,Pure Combat Experiment
M_NAME_PRECISIONDAMAGE,정밀 타격 실험,Precision Damage Experiment
M_NAME_REACHDEFENSE,방어 안정화 실험,Defense Stabilization Experiment
M_NAME_SPENDSTAMINA,고강도 기력 반응,High-Intensity Stamina Reaction
M_DESC_BASICATTACK,한 웨이브 동안 아이템을 사용하지 않고 평타만 사용하세요.,Use only basic attacks without using items for one wave.
M_DESC_PRECISIONDAMAGE,연속된 2턴 동안 나무에게 준 데미지 차이를 {0} 이하로 맞추세요.,Keep the damage difference dealt to the tree over 2 consecutive turns at {0} or less.
M_DESC_REACHDEFENSE,단 1턴 안에 마을 방어력을 {0} 이상 증가시키세요.,Increase the village's defense by at least {0} within a single turn.
M_DESC_SPENDSTAMINA,단 1턴 안에 기력을 {0} 이상 소모하세요.,Spend at least {0} stamina within a single turn.
M_UI_RESERVED,미션 예약 완료. 다음 날 시작.,Mission booked. Starts the next day.
M_UI_INPROGRESS,미션 진행 중.,Mission in progress.
M_UI_FAILED,미션 실패,Mission Failed...
M_UI_SUCCESS,미선 성공!,Mission Success!
