ID,KR,EN
UI_Load_Finding,상대 찾는 중,Looking for an opponent
UI_Load_Waiting,상대 기다리는 중,Waiting for opponent
UI_Load_MatchSuccess,매칭 성공! 게임에 입장합니다.,Matching success! Enter the game.
UI_Load_Loading,로딩 중,Loading Scene
UI_BranchDesc_1,나뭇가지 하나를 고르세요,Pick a stick
UI_BranchDesc_2,나뭇가지 길이에 따라 게임 진행 순서가 결정됩니다.,The player with the longest stick goes first
UI_PlayerHIT,'F'를 눌러 나무 베기,Press 'F' to Cut Tree
UI_PlayerHIT2,'F'를 눌러 나무 베기\n다른 키를 눌러 공격 취소,Press 'F' to Cut Tree\nPress other key to cancel attack
UI_PlayerSpace,'Spacebar'로 상호작용,'Spacebar' to interact
UI_PlayerNotHIT,내 차례가 아닙니다.,Not my Turn.
UI_ItemNotify_Title,아이템이 사용되었습니다!,Item has been used!
UI_ItemSacrifice_Title,바칠 제물을 선택하세요.,Choose an item to sacrifice.
UI_ItemSacrifice_TableDesc,공격력 감소량,Reduction amount
UI_ItemBet_Req_Title,기력을 배팅하세요!,Bet your energy!
UI_ItemBet_Req_Desc1,배팅 가능한 기력,Bettable energy
UI_ItemBet_Req_Desc2,배팅할 기력,Energy to bet
UI_ItemBet_Rec_Title,요청 수신,Request Received
UI_ItemBet_Rec_Desc1,배팅된 기력량,Wagered amount
UI_ItemBet_Rec_Desc2,요청을 수락하시겠습니까?,Would you like to accept?
UI_ItemBet_Rec_Desc3,거절 시 요청자가 얻는 기력,The energy the requester\ngains when refusing
UI_ItemBet_Rec_Desc4,패배 시 부족한 기력은 마을 체력 피해로 전환됩니다,On defeat, missing energy damages Village HP.
UI_ItemBet_W_Title,상대방 기다리는 중...,Waiting for Player...
UI_ItemBet_W_Desc1,상대방이 거절 시 얻는 기력,Amount of energy gained when the target refuses
UI_ItemBet_W_Desc2,상대방이 배팅 금액 설정 중,Opponent is setting the betting amount
UI_LogWood_MyTurn,내 차례,My Turn
UI_LogWood_OpTurn,상대 차례,Opponent's Turn
UI_LogWood_Interact,'스페이스바'로 상호작용,Press 'Spacebar' to interact
UI_LogWood_Wait,상대 기다리는 중,Waiting for an opponent
UI_LogWood_Result_Win_Title,승리!,Win!
UI_LogWood_Result_Lose_Title,패배,Lose
UI_LogWood_Result_Win_Desc,상대방이 나무 쪼개기를 실패했습니다.,Opponent failed to chop wood.
UI_LogWood_Result_Lose_Desc,나무 쪼개기를 실패했습니다...,Failed to chop wood...
UI_Warning_Energy,기력이 부족합니다.,Not enough energy
UI_Warning_FullInv,인벤토리가 가득찼습니다.,Full Inventory
UI_Warning_NotEnoughItem,아이템 수가 부족합니다.,Not enough items.
UI_Warning_NotAvaiable,더 이상 사용 불가합니다.,Item use is blocked.
UI_Item_LockPick_Warning,락픽이 없습니다.,There are no lockpicks.
UI_Item_LockPick_Has,락픽 갯수,Number of lock picks
UI_Exit_Lobby,로비로 나가기,Back To Lobby
UI_Exit_Game,게임 나가기,Quit Game
UI_Load_ReturningToLobby,로비로 복귀중,Returning to Lobby
UI_Result_Win,승리,VICTORY
UI_Result_Loss,패배,DEFEAT
UI_Result_Draw,무승부,Draw
UI_ResultReason_Loss_TreeDestroyed,나무를 베었습니다.,You felled the tree.
UI_ResultReason_Loss_VillageDestroyed,마을이 무너졌습니다.,Your village collapsed.
UI_ResultReason_Win_PlayerLeft,상대방이 게임을 떠났습니다.,The opponent has left the game.
UI_ResultReason_Win_TreeDestroyed,상대방이 나무를 베었습니다.,The opponent felled the tree.
UI_ResultReason_Win_VillageDestroyed,상대 마을이 무너졌습니다.,The opponent's village collapsed.
UI_ResultReason_Draw,두 마을이 동시에 무너졌습니다.,Both villages collapsed.
