ID,KR,EN
UI_Ready,준비 완료,Ready
UI_NotReady,준비 안됨,Not Ready
Upgrade_Cost,{0} <color=yellow>G</color> 필요,Cost: {0} <color=yellow>G</color>
Upgrade_Cost_Not_Enough,<color=red>비용 부족: {0}</color>,<color=red>Not Enough: {0}</color>
Upgrade_Max_Level,최대 레벨 달성,Max Level
Current_Gold,현재 골드:,Current Gold:
Building_Upgrade,강화하기,Upgrade
Building_Quit,나가기 (ESC),Quit (ESC)
Mine_Title,광산,Mine
Mine_Desc,광산에서 골드를 채굴합니다.,Mine gold in the mine.
Mine_Effect,일일 골드 수입: <color=#FFD700>{0}</color>,Daily Gold Income: <color=#FFD700>{0}</color>
Farm_Title,농장,Farm
Farm_Desc,농장에서 식량을 재배합니다.,Grow food on the farm.
Farm_Effect,최대 행동력: <color=#FFD700>{0}</color> / 일일 회복: <color=#FFD700>{1}</color>,Max Energy: <color=#FFD700>{0}</color> / Daily Recovery: <color=#FFD700>{1}</color>
Forge_Title,대장간,Forge
Forge_Desc,대장간에서 도끼를 강화합니다.,Axe upgrades in the forge.
Forge_Effect,도끼 범위 피해: <color=#FFD700>{0}</color> ~ <color=#FFD700>{1}</color>,Axe AoE Damage: <color=#FFD700>{0}</color> ~ <color=#FFD700>{1}</color>
Barrier_Title,마법사의 탑,Wizard's Tower
Barrier_Desc,마을의 방어막을 강화합니다.,Strengthen the village's barrier.
Barrier_Effect,방어막 방어력: <color=#FFD700>{0}</color>,Barrier Defense: <color=#FFD700>{0}</color>
Shop_Title,상점,Shop
Shop_Desc,상점에서 아이템을 구매합니다.,Buy items in the shop.
Shop_Effect,레어 아이템: {0}%\n에픽 아이템: {1}%\n레전드 아이템: {2}%,Rare Items: {0}%\nEpic Items: {1}%\nLegendary Items: {2}%
Shop_Reload, 새로고침 ({0} <color=yellow>G</color>), Reload ({0} <color=yellow>G</color>)
Shop_Buy,구매,Buy
Status_Open,마을 현황 (Tab),Village Status (Tab)
Status_Close,닫기,Close
Status_Content,<align=center><size=120%><b>마을 현황</b></size></align>\n<color=#C2A047>보유 골드</color>  <b>{0:N0}</b>\n\n<color=#C2A047><b>광산</b></color>  Lv. {1}\n<color=#A8A8A8>일일 골드</color>  <b>+{2:N0}</b>\n\n<color=#C2A047><b>대장간</b></color>  Lv. {3}\n<color=#A8A8A8>공격력</color>  <b>{4:N0} ~ {5:N0}</b>\n\n<color=#C2A047><b>상점</b></color>  Lv. {6}\n\n<color=#C2A047><b>농장</b></color>  Lv. {7}\n<color=#A8A8A8>최대 기력</color>  <b>{8:N0}</b>\n<color=#A8A8A8>일일 회복</color>  <b>+{9:N0}</b>\n\n<color=#C2A047><b>마법사의 탑</b></color>  Lv. {10}\n<color=#A8A8A8>방어력</color>  <b>{11:N0}</b>,<align=center><size=120%><b>Village Status</b></size></align>\n<color=#C2A047>Gold</color>  <b>{0:N0}</b>\n\n<color=#C2A047><b>Mine</b></color>  Lv. {1}\n<color=#A8A8A8>Daily Gold</color>  <b>+{2:N0}</b>\n\n<color=#C2A047><b>Forge</b></color>  Lv. {3}\n<color=#A8A8A8>Attack</color>  <b>{4:N0} ~ {5:N0}</b>\n\n<color=#C2A047><b>Shop</b></color>  Lv. {6}\n\n<color=#C2A047><b>Farm</b></color>  Lv. {7}\n<color=#A8A8A8>Max Energy</color>  <b>{8:N0}</b>\n<color=#A8A8A8>Daily Recovery</color>  <b>+{9:N0}</b>\n\n<color=#C2A047><b>Wizard's Tower</b></color>  Lv. {10}\n<color=#A8A8A8>Barrier Defense</color>  <b>{11:N0}</b>

