GameCount,Winner,TotalTurns,EndDay,EndWave,P1_AcquiredItems,P2_AcquiredItems,P1_UsedItems,P2_UsedItems,P1_EndInventory,P2_EndInventory,P1_Upgrades,P2_Upgrades
1,1,26,5,2,"2001;1000;1006;1004;2001;1005;4005;2000;1001;3002;2001;1004;1006;1006","4004;1002;1004;4003;1005;1001;4005;2001;3002;2001;2000;2000","1000;2001;1005;2000;3002;2001;2001;1004;4005","1002;4003;1005;4004;2001;2001;2000;2000","1006;1001;1004;1006;1006","1004;1001;4005;3002","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Barrier;D4_Farm;D4_Farm","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Mine;D4_Forge;D4_Farm"
2,1,23,4,3,"1005;3000;2003;2000;2000;4003;4008;2000;1000;2003;1006;1000","4008;1000;1000;1000;2001;2000;2000;1003;1000;1003;3000;2000","1005;2000;2000;2000;1000;1000","1000;1000;1000;2001;2000;2000;1000;4008;2000","3000;2003;4003;4008;2003;1006","1003;1003;3000","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Barrier;D3_Forge;D3_Mine"
3,1,25,5,1,"4004;4004;2002;1000;4004;2000;1001;2002;1005;4005;4005;2002","1005;1000;1000;4003;1001;1006;4004;4003;1000;1001;1005;2000;1000","1000;2000;4004;4004;4004;1005;2002","1000;1000;1005;4003;1000;4004;1005;2000","1001;2002;4005;4005;2002","1001;1006;4003;1001;1000","D1_Mine;D1_Barrier;D2_Mine;D2_Barrier;D2_Forge;D2_Farm;D3_Barrier;D3_Mine;D3_Forge;D4_Barrier","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Farm;D2_Barrier;D3_Mine;D3_Barrier;D3_Forge;D4_Mine;D4_Forge;D4_Farm"
4,1,28,5,3,"2000;2000;2000;1002;1004;1004;1006;2001;2000;1004;1004;1005;1004;2002;4005","1005;4005;1005;2001;4005;4003;3000;4005;2000;2000;3000;1003;1000;4003","2000;2000;2000;1002;1006;2001;2000;1004;1004;1005;2002","2001;1005;4005;1005;2000;2000;1000;3000","1004;1004;1004;4005","4005;4003;4005;3000;1003;4003","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Barrier;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Mine;D4_Forge;D4_Farm"
5,1,30,6,1,"4008;1005;2001;1004;4007;4003;1002;1007;1002;1001;2000;1002;4007;3000","1000;4003;1000;4007;2001;1004;2000;2000;1007;1000;2000;4007;4005;2000","2001;1005;4003;1007;1002;2000;4007","1000;4003;1000;2000;2000;2001;1000;2000;4007;1004;4007;2000","4008;1004;1002;1001;1002;4007;3000","1007;4005","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier;D4_Barrier;D4_Forge;D4_Farm;D5_Mine","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Mine;D4_Forge;D4_Farm;D5_Barrier"
6,1,25,5,1,"4005;4005;2000;4005;2001;2001;1002;1007;4005;4003;1000;3002","4004;1005;1000;4005;4004;4003;2000;4004;3000;4005;1005;2000;2000","2000;1002;4003;1000;3002","1000;2000;1005;4003;4004;4004;2000;2000","4005;4005;4005;2001;2001;1007;4005","4005;4004;3000;4005;1005","D1_Mine;D1_Barrier;D2_Mine;D2_Mine;D3_Mine;D3_Barrier;D3_Barrier;D3_Forge;D4_Barrier","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Forge;D2_Farm;D3_Mine;D3_Farm;D3_Barrier;D4_Mine;D4_Barrier;D4_Forge"
7,1,25,5,1,"1000;2000;1006;1000;1006;4005;1005;1003;1003;2003;1002;2000;2001","1006;1005;4007;1000;2001;2001;2003;2002;1002;2002;1003;2000","1000;2000;1000;1006;1005;1006;2003;1002;2000","1006;1000;1005;2001;1002;2001;2000","4005;1003;1003;2001","4007;2003;2002;2002;1003","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Barrier","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Barrier;D4_Forge;D4_Farm"
8,1,24,5,1,"1004;4008;4008;4008;1000;2002;1006;2000;4007;1005;1005;1000;2002","1000;4005;1004;4005;1004;1000;1000;4008;1004;4005;1000;2001","1004;1000;1006;2000;1005;1000;1005","1000;4005;1000;1000;4005;4005;1000;2001","4008;4008;4008;2002;4007;2002","1004;1004;4008;1004","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Mine;D3_Barrier;D3_Forge;D4_Mine;D4_Forge;D4_Farm","D1_Mine;D1_Barrier;D2_Mine;D2_Forge;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Mine;D4_Farm;D4_Farm"
9,1,35,6,3,"1000;1006;1005;1000;4007;1001;4008;1000;1001;4004;1001;1001;2000;1001;1000;4007;4004;1006","4007;1006;1006;1006;4007;1000;2000;1000;1004;1001;1004;1004;2000;1004;1001;2001;3002;2000","1000;1000;1006;1005;1000;1001;4004;1001;1001;2000;1001;1000;4007;4007;4004","1006;1006;1000;1006;2000;1000;4007;4007;2000;1004;1004;1004;1004;2001;3002;2000","4008;1001;1006","1001;1001","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier;D4_Mine;D4_Forge;D4_Farm;D5_Barrier;D5_Farm","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Farm;D4_Mine;D4_Farm;D4_Barrier;D5_Barrier;D5_Forge"
10,1,25,5,1,"4005;4005;4003;4005;4005;4004;1005;4004;1006;2000;2000;2001;1005","2001;1004;2001;1002;1004;2001;4003;2002;2000;4008;2000;2000","4003;1005;4004;2000;2000;2001;1005","2001;1002;1004;2001;2000;4003;2000;2000","4005;4005;4005;4005;4004;1006","1004;2001;2002;4008","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Forge;D2_Farm;D3_Mine;D3_Barrier;D3_Barrier;D4_Mine","D1_Mine;D1_Barrier;D2_Forge;D2_Mine;D2_Barrier;D2_Farm;D3_Forge;D3_Mine;D3_Barrier;D4_Barrier;D4_Forge;D4_Farm"
